isbn,series,language,publisher,price,title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
9780439358071.00,Harry Potter #5,English,Scholastic Inc.,7.38,Harry Potter and the Order of the Phoenix (Book 5),,"Rowling, J.K.",Juvenile Fiction,2015,4.49,870,1996446
9780316015844.00,The Twilight Saga #1,English,"Little, Brown and Company",2.1,Twilight,,Stephenie Meyer,Young Adult Fiction,2006,3.59,498,4367341
9780345538376.00,The Lord of the Rings #0-3,English,Ballantine Books,21.15,The Hobbit / The Lord of the Rings,The Hobbit / The Fellowship of the Ring / The Two Towers / The Return of the King,John Ronald Reuel Tolkien,Fiction,2012,4.59,1728,97731
9780393978896.00,,English,Norton,2.73,Wuthering Heights,"The 1847 Text, Backgrounds and Contexts, Criticism",Emily Bronte;Emily Brontë,Fiction,2003,3.84,464,1041597
9780142437209.00,,English,Penguin,5.46,Jane Eyre,,Charlotte Brontë,Fiction,2003,4.11,532,1328143
9780140283334.00,,English,Penguin Books,1.89,Lord of the Flies,,William Golding,Fiction,1999,3.67,182,1861140
9780743477116.00,,English,Simon Schuster,6.79,Romeo and Juliet,,William Shakespeare,Drama,1992,3.74,283,1811259
9780451528827.00,Anne of Green Gables #1,English,Signet Book,6.07,Anne of Green Gables,,Lucy Maud Montgomery,Fiction,2003,4.24,320,583568
9780064410939.00,,English,HarperCollinsPublishers,6.15,Charlotte's Web (full color),,E. B. White,Juvenile Fiction,2001,4.16,184,1229902
9780393970128.00,Dracula #1,English,Norton,4.55,Dracula,"Authoritative Text, Backgrounds, Reviews and Reactions, Dramatic and Film Variations, Criticism",Bram Stoker,Fiction,1997,3.99,488,724147
9780060929879.00,,English,HarperPerennial / Perennial Classics,3.78,Brave New World,,Aldous Huxley,Fiction,1998,3.98,288,1173739
9780345418265.00,,English,Ballantine Books,6.23,The Princess Bride,S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,Fiction,2003,4.26,398,673146
9780517189603.00,,English,Children's Classics,3.33,The Secret Garden,,Frances Hodgson Burnett,Juvenile Fiction,1998,4.13,331,725384
9780394800165.00,,English,Random House Books for Young Readers,2.98,Green Eggs and Ham,,Theodor Seuss Geisel;Dr. Seuss,Juvenile Fiction,1960,4.3,62,539202
9780141439600.00,,English,Penguin Books,1.12,A Tale of Two Cities,,Charles Dickens,Fiction,2003,3.83,489,693045
9781565125605.00,,English,Algonquin Books,3.46,Water for Elephants,A Novel,Sara Gruen,Fiction,2007,4.08,335,1198632
9780385732550.00,The Giver #1,English,Ember,7.15,The Giver,,Lois Lowry,Juvenile Fiction,2006,4.12,208,1464909
9780192833594.00,,English,Oxford University Press,0.85,Great Expectations,,Charles Dickens,Fiction,1998,3.76,505,523790
9780440242949.00,Outlander #1,English,Dell Publishing Company,5.98,Outlander,,Diana Gabaldon,Fiction,2005,4.22,850,627194
9780743454537.00,,English,Washington Square Press,2.76,My Sister's Keeper,A Novel,Jodi Picoult,Fiction,2005,4.07,423,950402
9780061120077.00,,English,HarperCollins Publishers,5.01,A Tree Grows in Brooklyn,,Betty Smith,Fiction,2006,4.26,496,326733
9780307265432.00,,English,Alfred A. Knopf,6.83,The Road,,Cormac McCarthy,Fiction,2006,3.96,241,574745
9780374528379.00,The Brothers Karamazov #1-4,English,"Farrar, Straus and Giroux",5.51,The Brothers Karamazov,A Novel in Four Parts With Epilogue,Fyodor Dostoevsky,Fiction,2002,4.32,796,177444
9780452011878.00,,English,Plume,4.41,Atlas Shrugged,,Ayn Rand,Capitalism,1957,3.68,1168,311883
9780439655484.00,Harry Potter #3,English,Scholastic Inc.,5.94,Harry Potter and the Prisoner of Azkaban (Book 3),,"Rowling, J.K.",Juvenile Fiction,2015,4.55,435,2149872
9780385074070.00,,English,"Doubleday & Company, Inc.",5.27,Complete Stories and Poems of Edgar Allan Poe,,Edgar Allan Poe,Fiction,1966,4.38,821,174162
9780552135399.00,,English,Black Swan,2.86,A Prayer for Owen Meany,,John Irving,American fiction,1990,4.23,637,246360
9780312353766.00,,English,St. Martin's Press,5.26,The Red Tent,A Novel,Anita Diamant,Fiction,2005,4.17,336,453899
9780312422158.00,,English,Picador USA,3.11,Middlesex,A Novel,Jeffrey Eugenides,Fiction,2003,3.99,529,526111
9780450040184.00,The Shining #1,English,New English Library (Hodder & Stoughton),7.59,The Shining,,Stephen King,Boys,1977,4.21,447,911271
9781400032716.00,,English,Vintage,2.94,The curious incident of the dog in the night-time,a novel,Mark Haddon,Fiction,2003,3.87,226,991627
9780241003008.00,,English,Puffin Books,2.42,The Very Hungry Caterpillar,,Eric Carle,Babytime resource,1994,4.29,26,340101
9780751529814.00,,English,Warner,3.27,Tuesdays with Morrie,"An Old Man, a Young Man, and Life''s Greatest Lesson",Mitch Albom,Amyotrophic lateral sclerosis,2003,4.09,210,651567
9780571224388.00,,English,Harper Perennial,11.62,The Unbearable Lightness of Being,,Milan Kundera,Adultery,2004,4.09,320,233448
9780439064866.00,Harry Potter #2,English,Arthur A. Levine Books / Scholastic Inc.,4.17,Harry Potter and the Chamber of Secrets (Book 2),,"Rowling, J.K.",Juvenile Fiction,2015,4.41,341,2115562
9780439244190.00,Holes #1,English,Scholastic,3.1,Holes,,Louis Sachar,Blind,1998,3.95,233,844072
9780618260300.00,The Hobbit,English,Houghton Mifflin,4.68,"The Hobbit, Or, There and Back Again",,John Ronald Reuel Tolkien,Juvenile Fiction,2001,4.26,366,2364968
9781557831576.00,,English,Applause Books,3.17,The Reduced Shakespeare Company's the Complete Works of William Shakespeare (abridged),,Jess Borgeson;Adam Long;Daniel Singer,Drama,1994,4.46,137,7970
9781400034680.00,,English,Vintage International,3.36,Love in the Time of Cholera,,Gabriel García Márquez,Fiction,2003,3.9,348,310177
9780345453747.00,The Hitchhiker's Guide to the Galaxy #0.5-5,English,Del Rey Books,2.76,The Ultimate Hitchhiker's Guide to the Galaxy,,Douglas Adams,Fiction,2002,4.38,815,240189
9780385721790.00,,English,Anchor Books,2.86,Atonement,A Novel,Ian McEwan,Fiction,2003,3.89,351,379336
9780143038412.00,,English,Riverhead Books,2.86,"Eat, Pray, Love","One Woman''s Search for Everything Across Italy, India, and Indonesia",Elizabeth Gilbert,Biography & Autobiography,2007,3.54,368,1309623
9780061120060.00,,English,Amistad,14.2,Their Eyes Were Watching God,,Zora Neale Hurston,Fiction,2006,3.9,219,209110
9780060775858.00,Over the Moon #2,English,HarperCollins,5.69,Goodnight Moon 60th Anniversary Edition,,Margaret Wise Brown,Juvenile Fiction,2005,4.27,32,264013
9780679889106.00,,English,Random House Books for Young Readers,41.26,The Lorax,,Dr. Seuss,Juvenile Fiction,1998,4.35,72,245819
9781416500186.00,House of Earth #1,English,Howard Publishing Co,5.27,The Good Earth,,Pearl S. Buck;Stephanie Reents,Fiction,2005,3.98,418,195372
9780743477543.00,,English,Simon & Schuster Paperbacks,3,A Midsummer Night's Dream,,William Shakespeare,Drama,1993,3.94,298,371813
9780786856862.00,Percy Jackson and the Olympians #2,English,Hyperion Books,1.91,"The Percy Jackson and the Olympians, Book Two: Sea of Monsters",,Rick Riordan,Juvenile Fiction,2006,4.24,279,594249
9780143038092.00,,English,Penguin Group,4.74,The Joy Luck Club,,Amy Tan,Fiction,2006,3.91,288,550264
9780439227148.00,,English,Scholastic,5.38,The Call of the Wild,,Jack London,Juvenile Fiction,2000,3.85,172,255627
9780394820378.00,,English,Random House Bullseye Books,5.79,The Phantom Tollbooth,,Norton Juster,Juvenile Fiction,1996,4.21,256,206193
9780140424386.00,,English,Penguin Books/Penguin Classics,3.9,The Canterbury Tales,,Geoffrey Chaucer,Poetry,2003,3.49,504,161011
9780345915597.00,,English,Ballantine Books,0,The World According to Garp,,John Irving,,1999,4.08,610,178515
9780099910107.00,,English,Arrow Books,0.91,A Farewell to Arms,,Ernest Hemingway,War,1994,3.8,293,210197
9780618711659.00,,English,Mariner Books,2.41,Extremely Loud and Incredibly Close,,Jonathan Safran Foer,Fiction,2006,3.98,326,325230
9780440238607.00,His Dark Materials #1-3,English,Laurel Leaf Library,3.57,His Dark Materials,,Philip Pullman,Fiction,2003,4.26,1088,102687
9780142437018.00,,English,Penguin Books,2.87,A Little Princess,,Frances Hodgson Burnett,Fiction,2002,4.19,242,232387
9781400033416.00,,English,Vintage,3.8,Beloved,A Novel,Toni Morrison,Fiction,2004,3.81,324,263625
9780671021009.00,,English,Pocket,1.91,She's Come Undone,,Wally Lamb,Fiction,1998,3.86,465,281643
9780739461198.00,,English,William Morrow; 1ST edition,5.29,Marley and me : love and life with the world's worst dog,,John Grogan,Labrador retriever,2005,4.13,291,406585
9780553381696.00,A Song of Ice and Fire #2,English,Bantam,1.91,A Clash of Kings,,George R. R. Martin,Fiction,2002,4.41,969,599010
9780312360269.00,House of Night #1,English,St. Martin's Press,1.79,Marked,A House of Night Novel,P. C. Cast;Kristin Cast,Juvenile Fiction,2007,3.8,306,388266
9780679785897.00,,English,Vintage Books,5.69,Fear and Loathing in Las Vegas,A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,Biography & Autobiography,1998,4.08,204,259867
9780740748479.00,Calvin and Hobbes,English,Andrews McMeel Publishing,110.67,The Complete Calvin and Hobbes,,Bill Watterson,Comics & Graphic Novels,2005,4.82,1456,31249
9780064410342.00,Howl's Moving Castle #1,English,Harper Trophy,5.95,Howl's Moving Castle,,Diana Wynne Jones,Juvenile Fiction,2001,4.3,329,148957
9780743477550.00,,English,Simon Schuster,6.76,Othello,,William Shakespeare,Drama,1993,3.88,314,261813
9780345476883.00,The Vampire Chronicles #2,English,Ballantine Books,5.68,The Vampire Lestat,,Anne Rice,Fiction,2004,4.07,481,152168
9780441627400.00,The Once and Future King #1-4,English,Ace,2.66,The Once and Future King,,Terence Hanbury White,Fiction,1987,4.08,639,82205
9780439709101.00,Inkworld #1,English,Scholastic Paperbacks,3.52,Inkheart,,Cornelia Caroline Funke,Juvenile Fiction,2005,3.87,563,309700
9780380813810.00,,English,William Morrow / HarperCollins / Harper Perennial,3.56,Lamb,"The Gospel According to Biff, Christ''s Childhood Pal",Christopher Moore,Fiction,2003,4.26,444,130754
9780486266893.00,,English,Dover Publications,1.45,Candide,,Voltaire,Fiction,1991,3.76,129,172319
9780312965785.00,All Creatures Great and Small #1-2,English,St. Martin's Paperbacks,2.63,All Creatures Great and Small,,James Herriot,Biography & Autobiography,1998,4.32,437,65381
9780751514629.00,,English,Warner Books,3.11,Different Seasons,,Stephen King,Castle Rock (Me. : Imaginary place),1995,4.35,560,121420
9781400079278.00,海辺のカフカ,English,Vintage International,8.22,Kafka on the Shore,,Haruki Murakami,Fiction,2006,4.13,467,206089
9780553381542.00,,English,Dial Press Trade Paperback,7.15,The Prince of Tides,,Pat Conroy,Fiction,2002,4.24,679,173886
9780151009985.00,,English,Houghton Mifflin Harcourt,1.33,Mrs. Dalloway,,Virginia Woolf,Fiction,2002,3.79,194,167000
9780061142024.00,,English,Harper Perennial,6.7,Stardust,,Neil Gaiman,Fiction,2006,4.08,248,264799
9780440227533.00,,English,Laurel Leaf,8.29,Number the Stars,,Lois Lowry,Juvenile Fiction,1989,4.13,137,379669
9780767908184.00,,English,Broadway Books,2.17,A Short History of Nearly Everything,,Bill Bryson,Science,2004,4.2,544,228522
9780679735779.00,,English,Vintage Contemporaries / Random House,3.34,American Psycho,A Novel,Bret Easton Ellis,Fiction,1991,3.82,399,193100
9780590032490.00,,English,Scholastic Inc.,3.84,The witches,,Roald Dahl,Juvenile Nonfiction,1997,4.17,208,254867
9780802142849.00,,English,Grove Press,4.21,Cold Mountain,A Novel,Charles Frazier;George Vithoulkas,Fiction,2006,3.85,356,201921
9780451216953.00,Black Dagger Brotherhood #1,English,Penguin Group (USA),3.89,Dark Lover,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,2005,4.2,393,250693
9781416914631.00,,English,Simon Pulse,2.98,Go Ask Alice,,Anonymous,Young Adult Fiction,2006,3.76,213,209572
9780743253970.00,,English,Scribner,2.82,A Separate Peace,,John Knowles,Fiction,2003,3.57,208,169719
9780141014081.00,Maus #1-2,English,Penguin Books,13.84,Complete Maus,,Art Spiegelman,Children of Holocaust survivors,2003,4.55,296,100212
9780141439808.00,,English,Penguin Books,3.11,Mansfield Park,,Jane Austen,Fiction,2003,3.85,507,234760
9780099578512.00,,English,Vintage,0.85,Midnight's Children,,Salman Rushdie,Children of the rich,1995,3.99,647,83826
9780142000656.00,,English,Penguin Books,5.26,East of Eden,,John Steinbeck,Fiction,2002,4.37,601,358668
9780060589462.00,Phaedrus #1,English,HarperTorch,4.41,Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,2006,3.77,540,157734
9780582418271.00,,English,Addison Wesley Publishing Company,3.09,The Firm,,John Grisham,Fiction,1999,4,76,522946
9780440238157.00,His Dark Materials #3,English,Laurel Leaf,1.64,The Amber Spyglass,,Philip Pullman,Juvenile Fiction,2003,4.09,467,219303
9780451527882.00,,English,Signet Classics,3.32,The Hunchback of Notre-Dame,,Victor Hugo;Walter J. Cobb,Fiction,2001,3.99,510,136349
9780385335973.00,Outlander #2,English,Bantam,4.8,Dragonfly in Amber,,Diana Gabaldon,Fiction,2001,4.32,743,208928
9781400030651.00,,English,Vintage,7.31,A Fine Balance,A Novel,Rohinton Mistry,Fiction,1997,4.36,603,108208
9780435233075.00,,English,Heinemann Library,3.92,Death of a Salesman,,Arthur Miller,American drama,1994,3.5,117,146272
9780822210894.00,,English,Dramatists Play Service,5.26,A Streetcar Named Desire,Play in Three Acts,Tennessee Williams,Drama,1953,3.98,107,229601
9780521618748.00,,English,Cambridge University Press,2.2,Hamlet,,William Shakespeare,Juvenile Nonfiction,2005,4.01,289,577429
9780553582024.00,A Song of Ice and Fire #4,English,Bantam Books,5,A Feast for Crows,,George R. R. Martin,Fiction,2006,4.13,1061,491147
9780446617796.00,Maximum Ride #1,English,Grand Central Publishing,3.43,The Angel Experiment,A Maximum Ride Novel,James Patterson,Fiction,2006,4.08,413,184133
9780142402498.00,Pippi Långstrump #1,English,Puffin Books,6.7,Pippi Longstocking,,Astrid Lindgren,Juvenile Fiction,2005,4.12,160,140107
9780192839992.00,,English,Oxford University Press,2.74,Dubliners,,James Joyce,Fiction,2000,3.85,207,85800
9780451219367.00,Black Dagger Brotherhood #3,English,Signet,2.5,Lover Awakened,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,2006,4.45,448,141779
9780553279375.00,Maya Angelou's Autobiography #1,English,Bantam Books,4.64,I Know why the Caged Bird Sings,,Maya Angelou,Biography & Autobiography,1993,4.22,289,326424
9780553803709.00,Robot #0.1,English,Bantam Books,8.99,"I, Robot",,Isaac Asimov,Fiction,2004,4.19,224,225145
9781884365300.00,,English,See Sharp Press,2.94,The Jungle,The Uncensored Original Edition,Upton Sinclair;Kathleen De Grave,Fiction,2003,3.73,335,106675
9780385335997.00,Outlander #3,English,Delta,5.97,Voyager,,Diana Gabaldon,Fiction,2001,4.39,870,188662
9780679724773.00,Claudius #1,English,Vintage,3.38,"I, Claudius","From the Autobiography of Tiberius Claudius, Born 10 B.C., Murdered and Deified A.D. 54",Robert Graves,Fiction,1989,4.27,468,43469
9780349113913.00,,English,"Little, Brown and Company",1.44,Me Talk Pretty One Day,,David Sedaris,Education,2002,3.98,272,546269
9780143037613.00,,English,Penguin Books,5.51,Bleak House,,Charles Dickens;Nicola Bradbury,Fiction,2006,4.01,1017,77515
9780140449143.00,Platonis opera #6,English,Penguin Classics,2.85,The Republic,,Plato;Sir Henry Desmond Pritchard Lee,Philosophy,2003,3.93,416,127393
9780061139376.00,,English,William Morrow Paperbacks,11.55,Coraline,,Neil Gaiman,Fiction,2006,4.05,162,377685
9780141439839.00,,English,Penguin Books,3.11,Vanity Fair,A Novel Without a Hero,William Makepeace Thackeray,Fiction,2003,3.78,867,100384
9780765346520.00,Sword of Truth #1,English,Tor Books,4.69,Wizard's First Rule,,Terry Goodkind,Fiction,2003,4.14,836,197049
9780316926348.00,,English,Back Bay Books,8.5,Brideshead Revisited,,Evelyn Waugh,Fiction,1982,4,351,76839
9780141000183.00,Chocolat #1,English,Penguin Books,3.07,Chocolat,A Novel,Joanne Harris,Fiction,2000,3.96,306,92266
9780141439617.00,,English,Penguin Classics,3.11,The Woman in White,,Wilkie Collins,Fiction,2003,3.99,672,104614
9781416524793.00,Robert Langdon #1,English,Pocket Books,3.11,Angels & Demons,,Dan Brown,Fiction,2006,3.88,736,2279854
9780142000687.00,Cannery Row #1,English,Penguin Books,10,Cannery Row,,John Steinbeck,Fiction,2002,4.03,181,92582
9780385494786.00,,English,Anchor Books,4.01,Into Thin Air,A Personal Account of the Mount Everest Disaster,Jon Krakauer,Biography & Autobiography,1999,4.15,368,327791
9780192802637.00,,English,Oxford University Press,1.39,Persuasion,,Jane Austen,Fiction,2004,4.13,249,421344
9780312181109.00,,English,Wyatt Book,7.01,I Capture the Castle,,Dodie Smith,Fiction,1948,4,343,62290
9780743482776.00,,English,Simon Schuster,6.27,Twelfth Night,,William Shakespeare,Drama,2004,3.98,220,133832
9780743477567.00,,English,"Washington Square Press, Inc.",6.27,The Merchant of Venice,,William Shakespeare,Drama,2004,3.8,237,130122
9780060885373.00,Little House #1,English,HarperTrophy,1.91,Little House in the Big Woods,,Laura Ingalls Wilder,Juvenile Fiction,2007,4.18,198,193862
9780375706677.00,,English,Vintage,2.74,No Country for Old Men,,Cormac McCarthy,Fiction,2006,4.13,309,114408
9780156004800.00,,English,Harcourt Brace,1.81,All the King's Men,,Robert Penn Warren,Fiction,1982,4.09,439,45975
9780198320272.00,,English,"Oxford University Press, USA",1.45,Julius Caesar,,William Shakespeare,Juvenile Nonfiction,2001,3.67,128,133575
9781590302255.00,,English,Shambhala,6.66,The Art of War,,Sun-Tzu;Sunzi,Philosophy,2005,3.97,273,214954
9780316341516.00,,English,"Little, Brown and Company",4.32,Mythology,,Edith Hamilton,Social Science,1998,3.99,497,34223
9780345419620.00,The Vampire Chronicles #3,English,Ballantine Books,3.64,The Queen of the Damned,,Anne Rice,Fiction,1997,3.88,448,118857
9780842342704.00,Left Behind #1,English,Tyndale House Publishers,6.47,Left behind,a novel of the earth's last days,Tim Lahaye;Tim F. LaHaye;Jerry B. Jenkins,Fiction,1998,3.83,342,181922
9780142001806.00,Thursday Next #1,English,Penguin Books,3.37,The Eyre Affair,A Novel,Jasper Fforde,Fiction,2003,3.91,374,93927
9780143037149.00,,English,Penguin Books,2.91,The Memory Keeper's Daughter,,Kim Edwards,Fiction,2006,3.65,401,519878
9780156032971.00,,English,Mariner Books,4.3,Foucault's Pendulum,,Umberto Eco,Fiction,2007,3.9,623,44658
9780393328622.00,,English,Norton,1.79,The History of Love: A Novel,,Nicole Krauss,Fiction,2006,3.92,255,107024
9780143039945.00,,English,Penguin Books,14.39,Gravity's Rainbow,,Thomas Pynchon,Fiction,1973,4.02,776,28034
9780553380163.00,,English,Bantam Books,2.72,A Brief History of Time,,Stephen Hawking,Science,1998,4.16,212,214520
9780689878558.00,Song of the Lioness #1,English,Simon Pulse,3.39,Alanna,The First Adventure,Tamora Pierce,Juvenile Fiction,2005,4.27,274,96683
9780743223133.00,,English,Simon & Schuster Paperbacks,6.13,John Adams,,David McCullough,Biography & Autobiography,2002,4.06,751,264047
9780553383041.00,Earthsea Cycle #1,English,Bantam Spectra,14.11,A Wizard of Earthsea,,Ursula K. Le Guin,Fiction,2004,4,183,182174
9780316296199.00,,English,Back Bay Books,5.44,The Magus,,John Fowles,Fiction,2001,4.05,656,36909
9780385721677.00,MaddAddam #1,English,Anchor Books,3.01,Oryx and Crake,A Novel,Margaret Atwood,Fiction,2004,4.01,389,176663
9780385340397.00,Outlander #6,English,Delta,5.99,A Breath of Snow and Ashes,,Diana Gabaldon,Fiction,2006,4.44,980,100326
9780061124266.00,On the Seventh Day #2,English,Harper Perennial,2.77,Veronika Decides to Die,A Novel of Redemption,Paulo Coelho,Fiction,2006,3.7,210,126224
9781842430354.00,,English,No Exit Press,0.85,Jitterbug Perfume,,Tom Robbins,Fiction,2001,4.24,342,52696
9780060959036.00,,English,Harper Perennial,3.67,Prodigal Summer,A Novel,Barbara Kingsolver,Fiction,2001,4,444,85440
9780679763970.00,,English,Vintage,3.11,Corelli's Mandolin,A Novel,Louis De Bernières,Fiction,1995,3.97,437,61387
9780440221661.00,Outlander #5,English,Dell,4.79,The Fiery Cross,,Diana Gabaldon,Fiction,2005,4.27,1443,120981
9780872863101.00,,English,City Lights,10.53,Howl and Other Poems,Pocket Poets Number 4,Allen Ginsberg,,1996,4.13,56,81285
9780394758282.00,Philip Marlowe #1,English,Vintage Crime,4.19,The Big Sleep,,Raymond Chandler,Fiction,1992,4.01,231,97885
9780385418867.00,Joseph Campbell and Power of Myth,English,Anchor,11.69,The Power of Myth,,Joseph Campbell,Philosophy,1991,4.3,320,36772
9781400034772.00,No. 1 Ladies' Detective Agency #1,English,Anchor Books,1.45,The No. 1 Ladies' Detective Agency,,Alexander McCall Smith,Fiction,2002,3.77,235,200338
9780760728505.00,Captain Nemo #1,English,Barnes & Noble,4.36,"20,000 Leagues Under the Sea",,Jules Verne,Science fiction,2002,3.88,394,135778
9780451412355.00,Black Dagger Brotherhood #4,English,Onyx,2.5,Lover Revealed,A Novel of the Black Dagger Brotherhood,J. R. Ward;Jessica Bird Ward,Fiction,2007,4.3,455,104180
9780553384284.00,Odd Thomas #1,English,Bantam,14.14,Odd Thomas,,Dean Ray Koontz,FICTION,2006,3.96,446,221395
9780140436587.00,Waverley Novels #5,English,Penguin Books /Penguin Classics,4.17,Ivanhoe,,Walter Scott,Fiction,2000,3.75,544,72038
9780141439587.00,,English,Penguin Books,0.85,Emma,,Jane Austen,Fiction,2002,3.99,474,519245
9781841156736.00,,English,Fourth Estate Paperbacks,2.76,The Corrections,,Jonathan Franzen,Aged women,2002,3.79,653,128702
9780452287068.00,,English,Plume,5.26,The Bluest Eye,,Toni Morrison,Fiction,2005,4.01,216,121960
9780452281257.00,,English,NAL,4.82,Anthem,,Ayn Rand,Fiction,1999,3.63,105,106642
9780140286809.00,,English,Penguin Classics Deluxe Edition,12.46,Collected Fictions,,Jorge Luis Borges;Andrew Hurley,Fiction,1998,4.58,565,18072
9780375713347.00,,English,Random House Vintage,5.38,Geek Love,,Katherine Dunn,Fiction,2002,3.96,348,46282
9780141439631.00,,English,Penguin Classics,1.98,The Portrait of a Lady,,Henry James,Fiction,2003,3.77,797,60027
9781400031047.00,Asher Lev #1,English,Anchor,2.55,My Name Is Asher Lev,,Chaim Potok,Fiction,2003,4.2,369,31846
9781400033423.00,,English,Vintage,12.75,Song of Solomon,,Toni Morrison,Fiction,2004,4.04,337,69036
9780743477109.00,,English,Simon Schuster,6.22,Macbeth,,William Shakespeare,Drama,2003,3.89,246,560816
9780618485222.00,,English,Mariner Books,3.19,The Namesake,,Jhumpa Lahiri,Fiction,2004,3.98,291,203953
9780553258479.00,,English,"Bantam Books, Inc.",2.39,Exodus,,Leon Uris,Eretz Israel,1958,4.34,608,83870
9780743269513.00,,English,Free Press,5,The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Stephen R. Covey,Self-Help,2004,4.09,372,387431
9780552992091.00,,English,Black Swan,3.11,The Hotel New Hampshire,,John Irving,Fiction,1986,3.9,520,49863
9780743455961.00,,English,Pocket Books,5.52,On Writing,,Stephen King,Biography & Autobiography,2002,4.33,320,160056
9780380731862.00,,English,HarperTorch,3.9,Shutter Island,,Dennis Lehane,Fiction,2004,4.09,369,128927
9780307276902.00,,English,Anchor Books,2.86,A Million Little Pieces,,James Frey,Biography & Autobiography,2004,3.63,432,195863
9780060584757.00,,English,William Morrow Paperbacks,3.55,Mystic River,,Dennis Lehane,Fiction,2003,4.18,416,105317
9780425197547.00,"Anita Blake, Vampire Hunter #1",English,Berkley,2.92,Guilty Pleasures,,Laurell K. Hamilton,Fiction,2004,4.02,355,112848
9780743247542.00,,English,Scribner,2.87,The Glass Castle,A Memoir,Jeannette Walls,Biography & Autobiography,2006,4.26,288,752358
9780385603102.00,,English,Random House,22.02,House of Leaves,,Mark Z. Danielewski,Experimental fiction,2000,4.12,705,90180
9780141184272.00,,English,Penguin Classics,1.6,Orlando,A Biography,Virginia Woolf,Men,2000,3.86,228,39204
9781560252481.00,,English,Da Capo Press,6.9,Requiem for a Dream,A Novel,Hubert Selby,Fiction,1999,4.11,279,45545
9780553381344.00,,English,Dial Press Trade Paperback,7.46,The bonfire of the vanities,,Tom Wolfe,Fiction,1987,3.84,690,57301
9780307279460.00,Bryson and Katz #2,English,Anchor Books,4.1,A Walk in the Woods,Rediscovering America on the Appalachian Trail,Bill Bryson,Sports & Recreation,2007,4.06,397,291489
