ISBN,Rating,Price,Pages,Rating Count,Language_Dummy,Size_Dummy,Famous_Dummy,Categories_Dummy,Serie_Dummy
9.78E+12,4.49,7.38,870,1996446,English,Big,Famous,Top_Category,Serie
9.78E+12,3.59,2.1,498,4367341,English,Big,Other,Other,Serie
9.78E+12,4.59,21.15,1728,97731,English,Big,Famous,Top_Category,Serie
9.78E+12,3.84,2.73,464,1041597,English,Big,Other,Top_Category,Other
9.78E+12,4.11,5.46,532,1328143,English,Big,Other,Top_Category,Other
9.78E+12,3.67,1.89,182,1861140,English,Big,Famous,Top_Category,Other
9.78E+12,3.74,6.79,283,1811259,English,Big,Famous,Top_Category,Other
9.78E+12,4.24,6.07,320,583568,English,Other,Other,Top_Category,Serie
9.78E+12,4.16,6.15,184,1229902,English,Big,Famous,Top_Category,Other
9.78E+12,3.99,4.55,488,724147,English,Big,Other,Top_Category,Serie
9.78E+12,3.98,3.78,288,1173739,English,Other,Famous,Top_Category,Other
9.78E+12,4.26,6.23,398,673146,English,Big,Other,Top_Category,Other
9.78E+12,4.13,3.33,331,725384,English,Other,Famous,Top_Category,Other
9.78E+12,4.3,2.98,62,539202,English,Big,Other,Top_Category,Other
9.78E+12,3.83,1.12,489,693045,English,Big,Famous,Top_Category,Other
9.78E+12,4.08,3.46,335,1198632,English,Other,Other,Top_Category,Other
9.78E+12,4.12,7.15,208,1464909,English,Big,Famous,Top_Category,Serie
9.78E+12,3.76,0.85,505,523790,English,Big,Famous,Top_Category,Other
9.78E+12,4.22,5.98,850,627194,English,Big,Famous,Top_Category,Serie
9.78E+12,4.07,2.76,423,950402,English,Big,Famous,Top_Category,Other
9.78E+12,4.26,5.01,496,326733,English,Big,Famous,Top_Category,Other
9.78E+12,3.96,6.83,241,574745,English,Other,Famous,Top_Category,Other
9.78E+12,4.32,5.51,796,177444,English,Big,Other,Top_Category,Serie
9.78E+12,3.68,4.41,1168,311883,English,Big,Famous,Other,Other
9.78E+12,4.55,5.94,435,2149872,English,Big,Famous,Top_Category,Serie
9.78E+12,4.38,5.27,821,174162,English,Other,Famous,Top_Category,Other
9.78E+12,4.23,2.86,637,246360,English,Big,Famous,Other,Other
9.78E+12,4.17,5.26,336,453899,English,Big,Other,Top_Category,Other
9.78E+12,3.99,3.11,529,526111,English,Big,Other,Top_Category,Other
9.78E+12,4.21,7.59,447,911271,English,Other,Famous,Other,Serie
9.78E+12,3.87,2.94,226,991627,English,Big,Other,Top_Category,Other
9.78E+12,4.29,2.42,26,340101,English,Big,Other,Other,Other
9.78E+12,4.09,3.27,210,651567,English,Other,Other,Other,Other
9.78E+12,4.09,11.62,320,233448,English,Big,Famous,Other,Other
9.78E+12,4.41,4.17,341,2115562,English,Other,Famous,Top_Category,Serie
9.78E+12,3.95,3.1,233,844072,English,Big,Famous,Other,Serie
